FID,SOLMUTUNNU,LYHYTTUNNU,SOLMUTYYPP,X,Y,PROJ_X,PROJ_Y,NIMI1,NAMN1,NIMI2,NAMN2,REI_VOIM,AIK_VOIM,VERKKO,PYSAKKITYY,X-koord.,Y-koord.
"1","1010101",H2997,P,"2552977","6673549","2552961","6673548",Yliopisto,Universitetet,Unioninkatu,Unionsgatan,"0","0","1","99",24.9511192300,60.1701407100
"2","1010102",H2007,P,"2553276","6673478","2553293","6673478",Ritarihuone,Riddarhuset,Mariankatu,Mariegatan,"0","0","1","04",24.9564860500,60.1694648100
"3","1010103",H2008,P,"2553291","6673679","2553279","6673678",Kirkkokatu,Kyrkogatan,Mariankatu 13,Mariegatan 13,"0","0","1","04",24.9568086500,60.1712666600
"4","1010104",H2009,P,"2553276","6673674","2553280","6673675",Kirkkokatu,Kyrkogatan,Mariankatu 12,Mariegatan 12,"0","0","1","04",24.9565371700,60.1712237400
"5","1010105",H2010,P,"2553277","6673825","2553268","6673824",Vironkatu,Estnäsgatan,Mariankatu 17,Mariegatan 17,"0","0","1","04",24.9565945600,60.1725787100
"6","1010106",H2011,P,"2553266","6673841","2553267","6673841",Vironkatu,Estnäsgatan,Mariankatu,Mariegatan,"0","0","1","04",24.9564006000,60.1727237300
"7","1010107",H2014,P,"2553283","6674001","2553283","6674004",Meritullinkatu,Sjötullsgatan,Liisankatu 8,Elisabetsgatan 8,"1","1","1","04",24.9567485500,60.1741573800
"8","1010108",H2013,P,"2553284","6674008","2553275","6674004",Meritullinkatu,Sjötullsgatan,Liisankatu 11,Elisabetsgatan 11,"1","1","1","04",24.9567683900,60.1742200700
"9","1010109",H2016,P,"2553502","6674010","2553501","6674018",Liisanpuistikko,Elisabetsskvären,Liisankatu,Elisabetsgatan,"1","1","1","01",24.9606958300,60.1742096300
"10","1010110",H2015,P,"2553474","6674027","2553475","6674016",Liisanpuistikko,Elisabetsskvären,Liisankatu 1,Elisabetsgatan 1,"1","1","1","04",24.9601959000,60.1743658400
"11","1010111",,P,"2553565","6674110","2553553","6674109",Pohjoisranta,Norra kajen,Pohjoisranta,Norra kajen,"0","0","1","99",24.9618569000,60.1750988200
"12","1010112",,P,"2553543","6674129","2553551","6674129",Pohjoisranta,Norra kajen,Pohjoisranta 22,Norra kajen 22,"0","0","1","99",24.9614655700,60.1752722000
"13","1010113",H0408,P,"2553263","6673464","2553265","6673444",Ritarihuone,Ritarihuone,Aleksanterinkatu,Alexandersgatan,"0","0","1","99",24.9562482600,60.1693408600
"14","1010114",H0448,P,"2553021","6673449","2553021","6673438",Senaatintori,Senatstorget,Aleksanterinkatu,Alexandersgatan,"0","0","1","99",24.9518857700,60.1692376100
"15","1010115",H2006,P,"2553308","6673483","2553293","6673482",Ritarihuone,Riddarhuset,Mariankatu,Mariegatan,"0","0","1","04",24.9570637000,60.1695055200
"16","1010116",H0407,P,"2553224","6673429","2553224","6673429",Ritarihuone,Riddarhuset,Aleksanterinkatu 10,Alexandersgatan 10,"0","0","1","99",24.9555367300,60.1690318300
"17","1010119",H0450,P,"2553098","6673574","2553109","6673575",Hallituskatu,Regeringsgatan,Snellmaninkatu,Snellmansgatan,"0","0","1","99",24.9533050800,60.1703494200
"18","1010120",H,P,"2553112","6673486","2553107","6673479",Senaatintori,Senatstorget,Snellmaninkatu 1,Snellmansgatan 1,"0","0","1","99",24.9535343600,60.1695578800
"19","1010121",H0452,P,"2553084","6673744","2553096","6673746",Kansallisarkisto,Riksarkivet,Snellmaninkatu 8,Snellmansgatan 8,"0","0","1","01",24.9530971000,60.1718768400
"20","1010122",H0451,P,"2553112","6673574","2553109","6673574",Hallituskatu,Regeringsgatan,Snellmaninkatu,Snellmansgatan,"0","0","1","99",24.9535572400,60.1703476000
"21","1010124",H0454,P,"2553038","6673970","2553038","6673988",Snellmaninkatu,Snellmansgatan,Liisankatu 20,Elisabetsgatan 20,"1","1","1","01",24.9523272200,60.1739109500
"22","1010125",H0455,P,"2553021","6674003","2553022","6673988",Snellmaninkatu,Snellmansgatan,Liisankatu 25,Elisabetsgatan 25,"1","1","1","01",24.9520295600,60.1742093000
"23","1010126",H2018,P,"2553529","6673985","2553528","6673984",Liisanpuistikko,Elisabetsskvären,Pohjoisranta,Norra kajen,"0","0","1","99",24.9611756400,60.1739817500
"24","1010127",H2017,P,"2553409","6673660","2553409","6673651",Pohjoisranta,Norra kajen,Kirkkokatu 1,Kyrkogatan 1,"0","0","1","99",24.9589290700,60.1710808000
"25","1010128",H2012,P,"2553263","6673978","2553258","6673977",Liisankatu,Elisabetsgatan,Mariankatu 23,Mariegatan 23,"0","0","1","01",24.9563822800,60.1739535800
"26","1010131",H0453,P,"2553100","6673744","2553095","6673744",Kansallisarkisto,Riksarkivet,Snellmaninkatu,Snellmansgatan,"0","0","1","99",24.9533852900,60.1718747700
"27","1010180",H2005,P,"2553139","6673314","2553141","6673303",Kauppatori,Salutorget,Pohjoisesplanadi,Norra esplanaden,"0","0","1","04",24.9539759200,60.1680108200
"28","1010419",H0450,P,"2553099","6673549","2553111","6673549",Hallituskatu,Regeringsgatan,Snellmaninkatu 4,Snellmansgatan 4,"1","1","3","04",24.9533165900,60.1701249300
"29","1010420",H0451,P,"2553121","6673575","2553109","6673575",Hallituskatu,Regeringsgatan,Snellmaninkatu 3,Snellmansgatan 3,"1","1","3","01",24.9537196000,60.1703554100
"30","1010421",H0453,P,"2553105","6673774","2553093","6673774",Kansallisarkisto,Riksarkivet,Snellmaninkatu 13,Snellmansgatan 13,"1","1","3","01",24.9534831500,60.1721433400
"31","1010422",H0452,P,"2553083","6673737","2553096","6673737",Kansallisarkisto,Riksarkivet,Snellmaninkatu 8,Snellmansgatan 8,"1","1","3","01",24.9530772700,60.1718141500
"32","1010424",H0408,P,"2553252","6673463","2553255","6673443",Ritarihuone,Riddarhuset,Aleksanterinkatu,Alexandersgatan,"1","1","3","01",24.9560498800,60.1693333100
"33","1010425",H0407,P,"2553224","6673428","2553224","6673440",Ritarihuone,Riddarhuset,Aleksanterinkatu 10,Alexandersgatan 10,"1","1","3","04",24.9555364700,60.1690228500
"34","1010427",H0455,P,"2553022","6673996","2553022","6673988",Snellmaninkatu,Snellmansgatan,Liisankatu 25,Elisabetsgatan 20,"1","1","3","01",24.9520457600,60.1741463500
"35","1010428",H0454,P,"2553039","6673975","2553038","6673987",Snellmaninkatu,Snellmansgatan,Liisankatu 20,Elisabetsgatan 20,"1","1","3","01",24.9523465300,60.1739557000
"36","1010451",H0448,P,"2552996","6673429","2552997","6673425",Senaatintori,Senatstorget,Aleksanterinkatu,Alexandersgatan,"1","1","3","04",24.9514303200,60.1690613600
"37","1010900",XH2003,P,"2553148","6673318","2553149","6673304",Kauppatori länteen,Salutorget västerut,Pohjoisesplanadi 7,Norra Esplanaden 7,"0","0","0","99",24.9541390500,60.1680455500
"38","1010901",XH2007,P,"2553037","6673513","2553037","6673514",Hki tuomiokirkko,Hfors domkyrka,Unioninkatu,Unionsgatan,"0","0","0","99",24.9521905500,60.1698098900
"39","1010902",XH2024,P,"2553474","6674206","2553474","6674207",Pohjoisranta,Norra kajen,Pohjoisranta,Norra kajen,"0","0","0","99",24.9602427700,60.1759722100
"40","1010903",XH2025,P,"2553159","6674260","2553159","6674261",Siltavuorenranta,Brobergskajen,Siltavuorenranta,Brobergskajen,"0","0","0","99",24.9545823100,60.1764977900
"41","1010904",XH2047,P,"2553042","6673716","2553043","6673705",Kansallisarkisto,Riksarkivet,Rauhankatu 17,Fredsgatan 17,"0","0","0","99",24.9523333200,60.1716310000
"42","1010905",XH2062,P,"2553849","6673964","2553849","6673965",Tervasaari,Tjärholmen,Tervasaarenkannas,Tjärholmsnäset,"0","0","0","99",24.9669343300,60.1737513900
"43","1010906",XH2018,P,"2552979","6674185","2552972","6674196",Siltavuorenranta 18,Brobergskajen 18,Siltavuorenranta 18,Brobergskajen 18,"0","0","0","99",24.9513202100,60.1758480300
"44","1020100",H2019,P,"2552533","6673893","2552532","6673907",Rautatientori,Järnvägstorget,Läntinen Teatterikuj,Västra Teatergränden,"0","0","1","04",24.9432107100,60.1732849600
"45","1020101",H1910,P,"2552296","6673472","2552301","6673476",Lasipalatsi,Glaspalatset,Mannerheimintie 20,Mannerheimvägen 20,"1","0","1","04",24.9388338600,60.1695371200
"46","1020102",H1905,P,"2552171","6673655","2552162","6673649",Postitalo,Posthuset,Mannerheimintie,Mannerheimvägen,"0","0","1","99",24.9366292200,60.1711953200
"47","1020103",H2082,P,"2552790","6674207","2552788","6674187",Kaisaniemi,Kajsaniemi,Kaisaniemenranta,Kajsaniemistranden,"0","0","1","99",24.9479211900,60.1760698400
"48","1020104",H2057,P,"2552567","6673562","2552565","6673579",Rautatientori,Järnvägstorget,Kaivokatu 4,Brunnsgatan 4,"1","1","1","01",24.9437379700,60.1703101500
"49","1020105",H2061,P,"2552936","6674092","2552928","6674091",Kaisaniemenpuisto,Kajsaniemiparken,Unioninkatu 43,Unionsgatan 43,"1","1","1","01",24.9505214900,60.1750189900
"50","1020106",H2060,P,"2552860","6673919","2552864","6673916",Kaisaniemenpuisto,Kajsaniemiparken,Kaisaniemenkatu,Kajsaniemigatan,"1","1","1","01",24.9491076600,60.1734762600
"51","1020107",H2996,P,"2552961","6673388","2552974","6673390",Yliopisto,Universitetet,Unioninkatu 32,Unionsgatan 32,"0","0","1","99",24.9507893200,60.1686979400
"52","1020108",H2998,P,"2552912","6673912","2552936","6673912",Kaisaniemi,Kajsaniemi,Unioninkatu,Unionsgatan,"0","0","1","99",24.9500425300,60.1734067300
"53","1020109",H2053,P,"2552675","6673762","2552675","6673757",Rautatientori,Järnvägstorget,Vilhonkatu,Vilhelmsgatan,"0","0","1","99",24.9457347600,60.1720911200
"54","1020110",H2268,P,"2552526","6673905","2552532","6673906",Bergbominkuja,Bergbomsgränden,Kaisaniemen puistokj,Kajsaniemiallen,"0","0","1","99",24.9430877000,60.1733935500
"55","1020112",H2040,P,"2552497","6673610","2552509","6673611",Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,"1","1","1","01",24.9424895100,60.1707498700
"56","1020113",H2041,P,"2552530","6673599","2552539","6673608",Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,"1","1","1","01",24.9430810700,60.1706469300
"57","1020114",,P,"2552400","6673552","2552400","6673569",Rautatientori,Järnvägstorget,Kaivokatu 10,Brunnsgatan 10,"0","0","0","99",24.9407275100,60.1702417800
"58","1020115",H2043,P,"2552498","6673683","2552505","6673683",Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,"1","1","1","01",24.9425262800,60.1714048600
"59","1020116",H2044,P,"2552511","6673647","2552518","6673646",Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,"1","1","1","01",24.9427511900,60.1710801300
"60","1020117",H2045,P,"2552511","6673677","2552517","6673676",Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,"1","1","1","01",24.9427589000,60.1713493500
"61","1020118",H2046,P,"2552509","6673708","2552509","6673709",Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,"0","0","1","01",24.9427308400,60.1716278100
"62","1020119",H2047,P,"2552528","6673632","2552529","6673632",Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,"1","1","1","01",24.9430535300,60.1709433400
"63","1020120",H2048,P,"2552522","6673672","2552531","6673672",Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,"1","1","1","01",24.9429557400,60.1713030700
"64","1020121",H2049,P,"2552522","6673709","2552523","6673709",Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,"0","0","1","01",24.9429652500,60.1716351200
"65","1020122",H2050,P,"2552542","6673621","2552550","6673621",Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,"1","1","1","01",24.9433028600,60.1708428300
"66","1020123",H2051,P,"2552539","6673676","2552539","6673676",Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,"1","1","1","01",24.9432629700,60.1713367900
"67","1020124",H2056,P,"2552297","6673552","2552310","6673536",Kaivokatu,Brunnsgatan,Kaivokatu,Brunnsgatan,"1","1","1","04",24.9388723500,60.1702549300
"68","1020126",H2040,P,"2552499","6673609","2552509","6673610",Rautatientori,Järnvägstorget,Keskuskatu,Centralgatan,"0","0","1","99",24.9425252800,60.1707406400
"69","1020128",H2020,P,"2552333","6673654","2552333","6673663",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"1","1","1","04",24.9395468800,60.1711657000
"70","1020129",H2021,P,"2552355","6673705","2552355","6673705",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"0","0","1","03",24.9399562100,60.1716205800
"71","1020130",H2037,P,"2552303","6673704","2552305","6673705",Elielinaukio,Elielplatsen,Postikuja,Postgränd,"1","1","1","04",24.9390193300,60.1716182400
"72","1020131",H2022,P,"2552355","6673712","2552355","6673712",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"1","1","1","03",24.9399580100,60.1716834000
"73","1020132",H2025,P,"2552355","6673733","2552355","6673733",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"1","1","1","03",24.9399633900,60.1718718600
"74","1020133",H2023,P,"2552355","6673719","2552355","6673719",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"1","1","1","03",24.9399598000,60.1717462200
"75","1020134",H2057,P,"2552571","6673563","2552569","6673578",Rautatientori,Järnvägstorget,Kaivokatu 4,Brunnsgatan 4,"1","1","1","99",24.9438102700,60.1703186100
"76","1020135",H2024,P,"2552355","6673726","2552355","6673726",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"1","1","1","03",24.9399616000,60.1718090400
"77","1020136",H2043,P,"2552499","6673669","2552499","6673669",Rautatientori,Järnvägstorget,Laituri 3,Plattform 3,"0","0","1","99",24.9425407000,60.1712791000
"78","1020137",,P,"2552539","6673676","2552539","6673676",Rautatientori,Järnvägstorget,Laituri 11,Plattform 11,"0","0","1","99",24.9432629700,60.1713367900
"79","1020138",H1904,P,"2552110","6673692","2552118","6673695",Paasikivenaukio,Paasikivis platsen,Mannerheimintie,Mannerheimvägen,"0","0","0","99",24.9355399400,60.1715351200
"80","1020140",H2055,P,"2552334","6673539","2552326","6673548",Kaivokatu,Brunnsgatan,Kaivokatu 12,Brunnsgatan 12,"1","1","1","04",24.9395354400,60.1701335400
"81","1020142",H2001,P,"2552590","6673280","2552591","6673272",Keskuskatu,Centralgatan,Pohjoisesplanadi 37,Norra esplanaden 37,"0","0","1","99",24.9440796500,60.1677764700
"82","1020167",H2054,P,"2552504","6673428","2552520","6673425",Keskuskatu,Centralgatan,Keskuskatu 4,Centralgatan 4,"0","0","1","99",24.9425688200,60.1691156700
"83","1020169",H2059,P,"2552899","6673926","2552892","6673930",Kaisaniemenpuisto,Kajsaniemiparken,Kaisaniemenkatu,Kajsaniemigatan,"1","1","1","01",24.9498119800,60.1735340500
"84","1020170",,P,"2552334","6673670","2552335","6673661",Asema-aukio,Stationsplatsen,Asema-aukio,Stationsplatsen,"0","0","0","99",24.9395690000,60.1713091600
"85","1020171",H2038,P,"2552275","6673620","2552274","6673627",Postitalo,Posthuset,Postikatu,Postgatan,"1","1","1","04",24.9384935000,60.1708679800
"86","1020174",H1903,P,"2552253","6673561","2552242","6673553",Lasipalatsi,Glaspalatset,Mannerheimintie 9,Mannerheimvägen 9,"1","1","1","04",24.9380821500,60.1703413000
"87","1020175",H2058,P,"2552621","6673653","2552629","6673654",Rautatientori,Järnvägstorget,Mikonkatu,Mikaelsgatan,"1","1","1","01",24.9447340200,60.1711198700
"88","1020176",H2039,P,"2552261","6673639","2552263","6673624",Postitalo,Posthuset,Postikatu,Postgatan,"0","0","1","01",24.9382462000,60.1710402700
"89","1020177",H1902,P,"2552223","6673552","2552237","6673559",Lasipalatsi,Glaspalatset,Mannerheimintie,Mannerheimsvägen,"1","0","1","04",24.9375395100,60.1702643600
"90","1020179",H2089,P,"2552939","6673311","2552940","6673295",Kauppatori,Salutorget,Pohjoisesplanadi,Norra Esplanaden,"0","0","1","99",24.9503731400,60.1680097700
"91","1020181",H2003,P,"2552820","6673304","2552822","6673288",Esplanadi,Esplanaden,Pohjoisesplanadi 27,Norra esplanaden 27,"0","0","1","99",24.9482281300,60.1679622900
"92","1020182",H2042,P,"2552497","6673635","2552508","6673635",Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,"1","1","1","04",24.9424959400,60.1709742300
"93","1020201",H2139,P,"2552565","6673742","2552565","6673738",Rautatientori,Järnvägstorget,Vilhonkatu,Vilhelmsgatan,"1","1","1","04",24.9437482600,60.1719257600
"94","1020202",H2050,P,"2552543","6673621","2552550","6673621",Rautatientori,Järnvägstorget,Laituri 10,Plattform 10,"0","0","1","99",24.9433208700,60.1708427000
"95","1020203",H2051,P,"2552535","6673668","2552535","6673668",Rautatientori,Järnvägstorget,Laituri 11,Plattform 11,"0","0","1","99",24.9431888700,60.1712655100
"96","1020204",H2052,P,"2552537","6673710","2552538","6673709",Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,"1","1","1","01",24.9432356900,60.1716421700
"97","1020217",H2045,P,"2552510","6673668","2552510","6673668",Rautatientori,Järnvägstorget,Laituri 5,Plattform 5,"0","0","1","99",24.9427385700,60.1712687100
"98","1020221",H2049,P,"2552522","6673699","2552522","6673699",Rautatientori,Järnvägstorget,Laituri 9,Plattform 9,"0","0","1","99",24.9429626800,60.1715453800
"99","1020228",H2020,P,"2552342","6673654","2552342","6673663",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"1","0","1","99",24.9397089900,60.1711645500
"100","1020230",H,P,"2552311","6673680","2552310","6673680",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"0","0","1","99",24.9391572800,60.1714018400
"101","1020235",,P,"2552355","6673726","2552355","6673726",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"0","0","1","99",24.9399616000,60.1718090400
"102","1020237",H2025,P,"2552355","6673733","2552355","6673733",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"0","0","1","99",24.9399633900,60.1718718600
"103","1020238",H2068,P,"2552080","6673699","2552118","6673695",Paasikivenaukio,Paasikivis platsen,Mannerheimintie,Mannerheimvägen,"0","0","1","99",24.9350013600,60.1716017600
"104","1020239",H2026,P,"2552355","6673740","2552355","6673740",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"1","1","1","03",24.9399651800,60.1719346800
"105","1020241",H2027,P,"2552355","6673747","2552355","6673747",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"1","1","1","03",24.9399669800,60.1719975000
"106","1020243",H2028,P,"2552355","6673754","2552355","6673754",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"1","1","1","03",24.9399687700,60.1720603200
"107","1020245",H2029,P,"2552355","6673761","2552355","6673761",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"1","1","1","03",24.9399705700,60.1721231300
"108","1020249",H2031,P,"2552305","6673698","2552305","6673698",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"0","0","1","03",24.9390538200,60.1715641400
"109","1020251",H2032,P,"2552304","6673705","2552304","6673705",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"0","0","1","03",24.9390376000,60.1716270900
"110","1020253",H2033,P,"2552323","6673725","2552303","6673712",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"0","0","1","03",24.9393849500,60.1718041500
"111","1020255",H2034,P,"2552302","6673719","2552302","6673719",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"0","0","1","03",24.9390051600,60.1717529800
"112","1020257",H2035,P,"2552322","6673738","2552301","6673726",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"0","0","1","03",24.9393702700,60.1719209400
"113","1020259",H2036,P,"2552300","6673733","2552300","6673733",Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,"0","0","1","03",24.9389727200,60.1718788800
"114","1020401",H0425,P,"2552667","6673566","2552657","6673566",Mikonkatu,Mikaelsgatan,Mikonkatu,Mikaelsgatan,"1","1","3","01",24.9455401300,60.1703332100
"115","1020402",H0424,P,"2552643","6673551","2552655","6673552",Mikonkatu,Mikaelsgatan,Mikonkatu,Mikaelsgatan,"1","1","3","01",24.9451040000,60.1702016800
"116","1020443",H0102,P,"2552243","6673545","2552247","6673548",Lasipalatsi,Glaspalatset,Mannerheimintie,Mannerheimvägen,"1","1","3","01",24.9378979500,60.1701989900
"117","1020444",H0101,P,"2552232","6673573","2552229","6673570",Lasipalatsi,Glaspalatset,Mannerheimintie 9,Mannerheimvägen 9,"1","1","3","01",24.9377069800,60.1704516700
"118","1020446",H0401,P,"2552499","6673381","2552498","6673390",Ylioppilastalo,Studenthuset,Aleksanterinkatu,Alexandersgatan,"1","1","3","01",24.9424666900,60.1686945300
"119","1020447",H0402,P,"2552474","6673401","2552475","6673388",Ylioppilastalo,Studenthuset,Aleksanterinkatu,Alexandersgatan,"1","1","3","01",24.9420215700,60.1688772100
"120","1020448",H0403,P,"2552742","6673402","2552741","6673408",Aleksanterinkatu,Alexandersgatan,Aleksanterinkatu 42,Alexandersgatan 42,"1","1","3","01",24.9468486500,60.1688518000
"121","1020449",H0404,P,"2552700","6673413","2552701","6673405",Aleksanterinkatu,Alexandersgatan,Aleksanterinkatu 13,Alexandersgatan 13,"1","1","3","01",24.9460950400,60.1689559200
"122","1020450",H0405,P,"2552941","6673417","2552940","6673422",Senaatintori,Senatstorget,Aleksanterinkatu,Alexandersgatan,"1","1","3","01",24.9504366200,60.1689607700
"123","1020453",H0301,P,"2552431","6673563","2552430","6673570",Rautatieasema,Järnvägsstationen,Kaivokatu,Brunnsgatan,"1","1","3","01",24.9412886900,60.1703365300
"124","1020454",H0302,P,"2552394","6673576","2552394","6673567",Rautatieasema,Järnvägsstationen,Kaivokatu,Brunnsgatan,"1","1","3","01",24.9406256000,60.1704579300
"125","1020455",H0406,P,"2552911","6673428","2552912","6673420",Senaatintori,Senatstorget,Aleksanterinkatu,Alexandersgatan,"1","1","3","01",24.9498991500,60.1690633600
"126","1020456",H0342,P,"2552628","6673658","2552634","6673659",Rautatientori,Järnvägstorget,Mikonkatu,Mikaelsgatan,"0","0","1","04",24.9448613900,60.1711638400
"127","1020457",H0303,P,"2552782","6673739","2552780","6673739",Kaisaniemenkatu,Kajsaniemigatan,Kaisaniemenkatu 7,Kajsaniemigatan 7,"1","1","3","01",24.9476561300,60.1718709600
"128","1020458",H0304,P,"2552766","6673716","2552774","6673713",Kaisaniemenkatu,Kajsaniemigatan,Kaisaniemenkatu,Kajsaniemigatan,"1","1","3","04",24.9473620000,60.1716666100
"129","1020459",H0305,P,"2552888","6673930","2552883","6673934",Kaisaniemenpuisto,Kajsaniemiparken,Kaisaniemenkatu,Kajsaniemigatan,"1","1","3","01",24.9496148700,60.1735713700
"130","1020460",H0306,P,"2552858","6673904","2552866","6673900",Kaisaniemenpuisto,Kajsaniemiparken,Kaisaniemenkatu,Kajsaniemigatan,"1","1","1","01",24.9490677500,60.1733419100
"131","1020463",H0701,P,"2552423","6673327","2552419","6673324",Ylioppilastalo,Studenthuset,Mannerheimintie 1,Mannerheimvägen 1,"1","1","3","01",24.9410840500,60.1682196400
"132","1020464",H0702,P,"2552449","6673275","2552454","6673278",Ylioppilastalo,Studenthuset,Mannerheimintie,Mannerheimvägen,"1","1","3","01",24.9415389600,60.1677496600
"133","1020501",H0070,P,"2552450","6673670","2552450","6673670",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"1","1","4","03",24.9416583700,60.1712943400
"134","1020502",H0070,P,"2552350","6673827","2552350","6673827",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"1","1","4","03",24.9398974200,60.1727160700
"135","1020503",H0070,P,"2552470","6673859","2552468","6673859",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"1","1","4","03",24.9420671600,60.1729879100
"136","1020521",H0070,P,"2552472","6673882","2552475","6673883",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"0","0","0","99",24.9421090900,60.1731940600
"137","1020522",H0070,P,"2552470","6673882","2552464","6673882",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"0","0","0","99",24.9420730600,60.1731943100
"138","1020523",H0070,P,"2552454","6673883","2552459","6673883",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"0","0","0","99",24.9417851100,60.1732053300
"139","1020524",H0070,P,"2552465","6673696","2552461","6673695",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"0","0","0","99",24.9419352300,60.1715257500
"140","1020525",H0070,P,"2552452","6673696","2552455","6673696",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"0","0","0","99",24.9417010700,60.1715274100
"141","1020526",H0070,P,"2552449","6673696","2552447","6673696",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"0","0","0","99",24.9416470400,60.1715278000
"142","1020527",H0070,P,"2552435","6673695","2552441","6673695",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"0","0","0","99",24.9413946100,60.1715206100
"143","1020528",H0070,P,"2552435","6673693","2552430","6673694",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"0","0","0","99",24.9413941000,60.1715026700
"144","1020529",H0070,P,"2552422","6673694","2552425","6673694",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"0","0","0","99",24.9411602000,60.1715133000
"145","1020530",H0070,P,"2552418","6673693","2552414","6673692",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"0","0","0","99",24.9410878900,60.1715048400
"146","1020531",H0070,P,"2552404","6673693","2552408","6673693",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"0","0","0","99",24.9408357300,60.1715066300
"147","1020532",H0070,P,"2552391","6673848","2552386","6673848",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"0","0","0","99",24.9406413200,60.1728992900
"148","1020533",H0070,P,"2552380","6673846","2552381","6673846",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"0","0","0","99",24.9404426700,60.1728827500
"149","1020534",H0070,P,"2552374","6673845","2552370","6673846",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"0","0","0","99",24.9403343400,60.1728745400
"150","1020535",H0070,P,"2552360","6673845","2552366","6673846",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"0","0","0","99",24.9400821600,60.1728763300
"151","1020536",H0070,P,"2552357","6673845","2552355","6673845",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"0","0","0","99",24.9400281200,60.1728767100
"152","1020537",H0070,P,"2552346","6673845","2552349","6673845",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"0","0","0","99",24.9398299800,60.1728781200
"153","1020538",H0070,P,"2552344","6673844","2552338","6673845",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"0","0","0","99",24.9397937000,60.1728694000
"154","1020539",H0070,P,"2552327","6673843","2552333","6673843",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"0","0","0","99",24.9394872300,60.1728625900
"155","1020551",H0070,P,"2552435","6673670","2552435","6673670",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"1","1","4","03",24.9413882000,60.1712962600
"156","1020552",H0070,P,"2552330","6673828","2552330","6673828",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"1","1","4","03",24.9395374200,60.1727276000
"157","1020553",H0070,P,"2552442","6673858","2552442","6673858",Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,"1","1","4","03",24.9415625400,60.1729825100
