FID,SOLMUTUNNU,LYHYTTUNNU,SOLMUTYYPP,X,Y,PROJ_X,PROJ_Y,NIMI1,NAMN1,NIMI2,NAMN2,REI_VOIM,AIK_VOIM,VERKKO,PYSAKKITYY,X-koord.,Y-koord.
"796","1130434",H0105,P,"2551751","6674442","2551746","6674441",Hesperian puisto,Hesperiaparken,Mannerheimintie,Mannerheimvägen,"1","1","3","01",24.9292636400,60.1783112600
"797","1130435",H0106,P,"2551749","6674412","2551755","6674414",Hesperian puisto,Hesperiaparken,Mannerheimintie 42,Mannerheimvägen 42,"1","1","3","01",24.9292200000,60.1780422900
"798","1130436",H0201,P,"2551844","6673658","2551844","6673646",Luonnontiet.museo,Naturhist. museet,Arkadiankatu,Arkadiagatan,"1","1","3","01",24.9307401000,60.1712637200
"799","1130437",H0202,P,"2551883","6673642","2551883","6673645",Luonnontiet.museo,Naturhist. museet,Arkadiankatu 8,Arkadiagatan 8,"1","1","1","01",24.9314385100,60.1711152000
"800","1130438",H0203,P,"2551526","6673657","2551521","6673654",Hanken,Hanken,Arkadiankatu 20,Arkadiagatan 20,"1","1","3","01",24.9250120600,60.1712948300
"801","1130439",H0204,P,"2551553","6673645","2551560","6673652",Hanken,Hanken,Arkadiankatu 23,Arkadiagatan 23,"1","1","3","04",24.9254953500,60.1711837400
"802","1130440",H0205,P,"2551395","6673891","2551389","6673889",Sammonkatu,Sampogatan,Runeberginkatu 31,Runebergsgatan 31,"1","1","3","01",24.9227113600,60.1734112400
"803","1130441",H0206,P,"2551405","6673827","2551411","6673829",Sammonkatu,Sampogatan,Runeberginkatu,Runebergsgatan,"1","1","3","01",24.9228753800,60.1728356400
"804","1130442",H0207,P,"2551367","6674226","2551363","6674227",Apollonkatu,Apollogatan,Runeberginkatu,Runebergsgatan,"1","1","3","01",24.9222912400,60.1764211200
"805","1130443",H0208,P,"2551357","6674206","2551360","6674206",Apollonkatu,Apollogatan,Runeberginkatu 32,Runebergsgatan 32,"1","1","3","01",24.9221060600,60.1762428900
"806","1130444",H0219,P,"2551288","6673565","2551284","6673564",Perhonkatu,Perhogatan,Mechelininkatu,Mechelingatan,"0","0","3","01",24.9207021100,60.1704990300
"807","1130445",H0220,P,"2551278","6673544","2551286","6673545",Perhonkatu,Perhogatan,Mechelininkatu 4,Mechelingatan 4,"0","0","3","01",24.9205167300,60.1703118200
"808","1130446",H0221,P,"2551252","6673730","2551252","6673730",Arkadiankatu,Arkadiagatan,Mechelininkatu,Mechelingatan,"1","1","3","01",24.9200950900,60.1719842800
"809","1130447",H0222,P,"2551266","6673645","2551267","6673646",Arkadiankatu,Arkadiagatan,Mechelininkatu,Mechelingatan,"1","1","3","01",24.9203259300,60.1712197200
"810","1130900",XH1020,P,"2550644","6673830","2550648","6673838",Hietaniemi Hautausm.,Sandudds Kyrkogård,Hietaniemenkatu 24,Sanduddsgatan 24,"0","0","0","99",24.9091683300,60.1729572500
"811","1130901",XH1021,P,"2550888","6673767","2550884","6673761",Hietan. Krematorio,Sandudds Krematorium,Hietaniemenkatu 27,Sanduddsgatan 27,"0","0","0","99",24.9135477900,60.1723616700
"812","1130902",XH1038,P,"2551322","6673520","2551322","6673517",Ravintolakoulu Perho,Restaurangsk. Perho,Hietaniemenkatu 16,Sanduddsgatan 16,"0","0","0","99",24.9213032000,60.1700909400
"813","1130903",XH1109,P,"2551463","6674029","2551457","6674027",Oksasenkatu,Oksanengatan,Oksasenkatu 3,Oksanengatan 3,"0","0","0","99",24.9239710200,60.1746411600
"814","1130904",XH1111,P,"2551653","6674177","2551660","6674176",Kristuskyrkan,Kristuskyrkan,Apollonkatu 5,Apollogatan 5,"0","0","0","99",24.9274310600,60.1759454500
"815","1130905",XH1117,P,"2551814","6673929","2551813","6673930",Helsingfors Arbis,Helsingfors Arbis,Dagmarinkatu 3,Dagmarsgatan 3,"0","0","0","99",24.9302684800,60.1736995300
"816","1130906",XH1136,P,"2551496","6674188","2551510","6674191",Olaus-Petrin srk,Olaus Petri församl.,Minervankatu 6,Minervagatan 6,"0","0","0","99",24.9246055600,60.1760639200
"817","1140100",H2140,P,"2551567","6675538","2551561","6675543",Stadion Hostel,Stadion Hostel,Pohjoinen Stadiontie,Norra Stadionvägen,"0","0","0","99",24.9262256000,60.1881702000
"818","1140101",H1346,P,"2551181","6674913","2551188","6674916",Töölön kirjasto,Tölö bibliotek,Topeliuksenkatu,Topeliusgatan,"1","1","1","04",24.9191126800,60.1826096900
"819","1140102",H1311,P,"2551357","6674616","2551352","6674614",Töölöntori,Tölö torg,Topeliuksenkatu,Topeliusgatan,"1","1","1","04",24.9222091700,60.1799223300
"820","1140103",H1312,P,"2551352","6674582","2551366","6674589",Töölöntori,Tölö torg,Topeliuksenkatu,Topeliusgatan,"1","1","1","01",24.9221105400,60.1796178300
"821","1140104",H1317,P,"2551073","6675160","2551062","6675152",Linnankoskenkatu,Linnankoskigatan,Topeliuksenkatu 25,Topeliusgatan 25,"1","1","1","01",24.9172285100,60.1848398000
"822","1140105",H1316,P,"2551044","6675148","2551059","6675157",Linnankoskenkatu,Linnankoskigatan,Topeliuksenkatu 10,Topeliusgatan 10,"1","1","1","01",24.9167029500,60.1847357200
"823","1140106",H1318,P,"2550978","6675255","2550994","6675265",Kirjailijan puisto,Författarparken,Topeliuksenkatu,Topeliusgatan,"1","1","1","01",24.9155404000,60.1857041800
